id,texto,tipo,classe,fonte,data_referencia,url,tema,categoria
11,Um estudo de autopsias provou que a maioria das mortes subitas foi causada por vacinas contra covid.,fake,Fake,AFP Checamos,2024-07-10,https://checamos.afp.com/doc.afp.com.362K7AZ,Vacinas e desinformacao,Mortalidade
12,Morrer dias depois de uma vacina e prova suficiente de que a vacina causou o obito.,fake,Fake,AFP Checamos,2024-07-10,https://checamos.afp.com/doc.afp.com.362K7AZ,Vacinas e desinformacao,Mortalidade
13,A Suprema Corte dos Estados Unidos decidiu que vacinas de mRNA contra covid nao sao vacinas.,fake,Fake,AFP Checamos,2025-06-04,https://checamos.afp.com/doc.afp.com.494Q662,Vacinas e desinformacao,Decisao judicial
14,Robert Kennedy Jr. venceu processo que declarou as vacinas de covid como terapias geneticas perigosas.,fake,Fake,AFP Checamos,2025-06-04,https://checamos.afp.com/doc.afp.com.494Q662,Vacinas e desinformacao,Decisao judicial
15,Um tribunal europeu determinou que medicos devem responder criminalmente por mortes causadas por vacinas.,fake,Fake,AFP Checamos,2025-02-13,https://checamos.afp.com/doc.afp.com.49EB3G2,Vacinas e desinformacao,Decisao judicial
16,A Justica europeia confirmou que vacinas contra covid sao defeituosas e seus aplicadores devem ser punidos.,fake,Fake,AFP Checamos,2025-02-13,https://checamos.afp.com/doc.afp.com.49EB3G2,Vacinas e desinformacao,Decisao judicial
17,O documentario Died Suddenly prova que vacinas contra covid foram usadas como arma de despovoamento.,fake,Fake,AFP Checamos,2022-12-02,https://checamos.afp.com/doc.afp.com.32XQ9K7,Vacinas e desinformacao,Conspiracao
18,Mortes subitas divulgadas na internet comprovam uma campanha global de eliminacao por vacinas.,fake,Fake,AFP Checamos,2022-12-02,https://checamos.afp.com/doc.afp.com.32XQ9K7,Vacinas e desinformacao,Conspiracao
19,Vacinas contra covid aplicadas em gestantes aumentam amplamente o risco de infertilidade.,fake,Fake,AFP Checamos,2022-05-06,https://checamos.afp.com/doc.afp.com.32AL4FA,Vacinas e desinformacao,Gravidez e fertilidade
20,Documento antigo da Pfizer prova que a vacina contra covid nao deve ser usada em gestantes.,fake,Fake,AFP Checamos,2022-05-06,https://checamos.afp.com/doc.afp.com.32AL4FA,Vacinas e desinformacao,Gravidez
21,Alteracoes menstruais apos vacina comprovam que vacinas anticovid causam infertilidade.,fake,Fake,AFP Checamos,2021-10-29,https://checamos.afp.com/doc.afp.com.9Q948G,Vacinas e desinformacao,Fertilidade
22,Vacinas contra covid causam disturbios menstruais permanentes em mulheres.,fake,Fake,AFP Checamos,2021-10-29,https://checamos.afp.com/doc.afp.com.9Q948G,Vacinas e desinformacao,Fertilidade
23,Video de microscopio prova que vacinas contra covid possuem grafeno escondido.,fake,Fake,Agencia Lupa,2023-03-24,https://www.agencialupa.org/jornalismo/2023/03/24/e-falso-que-video-prove-que-vacinas-contra-a-covid-19-contenham-grafeno/,Vacinas e desinformacao,Grafeno
24,O oxido de grafeno nas vacinas seria responsavel por variantes da covid.,fake,Fake,Agencia Lupa,2023-03-24,https://www.agencialupa.org/jornalismo/2023/03/24/e-falso-que-video-prove-que-vacinas-contra-a-covid-19-contenham-grafeno/,Vacinas e desinformacao,Grafeno
25,Vacinas contra covid contem grafeno e materiais desconhecidos escondidos das autoridades.,fake,Fake,Ministerio da Saude - Saude com Ciencia,2024-07-18,https://www.gov.br/saude/pt-br/assuntos/saude-com-ciencia/noticias/2024/julho/grafeno-nao-esta-presente-em-vacinas,Vacinas e desinformacao,Grafeno
26,O grafeno estaria envenenando pessoas por meio das vacinas.,fake,Fake,Ministerio da Saude - Saude com Ciencia,2024-07-18,https://www.gov.br/saude/pt-br/assuntos/saude-com-ciencia/noticias/2024/julho/grafeno-nao-esta-presente-em-vacinas,Vacinas e desinformacao,Grafeno
27,Vacinas contem microchips para rastrear pessoas e controlar a populacao.,fake,Fake,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Microchips
28,Governos colocam chips em vacinas para monitorar o deslocamento de cada cidadao.,fake,Fake,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Microchips
29,Agua potavel e higiene tornam as vacinas desnecessarias contra doencas infecciosas.,fake,Fake,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Necessidade de vacinas
30,"Doencas como sarampo, caxumba e rubeola sao leves e nao justificam vacinacao.",fake,Fake,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Gravidade das doencas
31,O Programa Nacional de Imunizacoes coordena a politica de vacinacao no Brasil.,verdadeiro,Fato,Ministerio da Saude,2026-05-24,https://www.gov.br/saude/pt-br/vacinacao/vacinacao/,Vacinas e desinformacao,Politica publica
32,O calendario nacional inclui vacinas de rotina e imunobiologicos especiais para grupos especificos.,verdadeiro,Fato,Ministerio da Saude,2026-05-24,https://www.gov.br/saude/pt-br/vacinacao/vacinacao/,Vacinas e desinformacao,Calendario vacinal
33,"Vacinas ajudam a prevenir poliomielite, sarampo, rubeola, tetano, hepatite B e coqueluche.",verdadeiro,Fato,Ministerio da Saude,2026-05-24,https://www.gov.br/saude/pt-br/vacinacao/vacinacao/,Vacinas e desinformacao,Doencas preveniveis
34,Campanhas de vacinacao podem priorizar grupos vulneraveis contra covid e influenza.,verdadeiro,Fato,Ministerio da Saude,2026-05-24,https://www.gov.br/saude/pt-br/vacinacao/vacinacao/,Vacinas e desinformacao,Campanhas
35,O PNI contribuiu para a erradicacao da variola e da poliomielite no Brasil.,verdadeiro,Fato,Ministerio da Saude,2026-05-24,https://www.gov.br/saude/pt-br/acesso-a-informacao/acoes-e-programas/pni,Vacinas e desinformacao,Impacto historico
36,O PNI acompanha a seguranca das vacinas e atualiza o calendario de imunizacao.,verdadeiro,Fato,Ministerio da Saude,2026-05-24,https://www.gov.br/saude/pt-br/acesso-a-informacao/acoes-e-programas/pni,Vacinas e desinformacao,Seguranca vacinal
37,O calendario vacinal indica doses e idades adequadas para cada vacina.,verdadeiro,Fato,Ministerio da Saude,2026-05-24,https://www.gov.br/saude/pt-br/acesso-a-informacao/acoes-e-programas/pni,Vacinas e desinformacao,Calendario vacinal
38,"O Brasil incluiu vacinas contra HPV, influenza e covid no calendario ou em estrategias de protecao.",verdadeiro,Fato,Ministerio da Saude,2026-05-24,https://www.gov.br/saude/pt-br/acesso-a-informacao/acoes-e-programas/pni,Vacinas e desinformacao,Calendario vacinal
39,Vacinas de mRNA contra covid nao sao produtos de terapia genica.,verdadeiro,Fato,Anvisa,2022-01-13,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2022/anvisa-esclarece-vacinas-contra-covid-19-nao-sao-produtos-de-terapia-genica/,Vacinas e desinformacao,Tecnologia vacinal
40,Vacinas de RNA mensageiro induzem resposta imunologica sem usar copias de genes humanos.,verdadeiro,Fato,Anvisa,2022-01-13,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2022/anvisa-esclarece-vacinas-contra-covid-19-nao-sao-produtos-de-terapia-genica/,Vacinas e desinformacao,Tecnologia vacinal
41,"A Anvisa avalia dados de qualidade, eficacia e seguranca das vacinas submetidas a autorizacao.",verdadeiro,Fato,Anvisa,2026-05-24,https://www.gov.br/anvisa/pt-br/comunicacao/campanhas/coronavirus/vacinas,Vacinas e desinformacao,Regulacao
42,A avaliacao regulatoria de vacinas considera qualidade do produto e evidencias de seguranca.,verdadeiro,Fato,Anvisa,2026-05-24,https://www.gov.br/anvisa/pt-br/comunicacao/campanhas/coronavirus/vacinas,Vacinas e desinformacao,Regulacao
43,O grafeno nao esta presente em vacinas aprovadas no Brasil contra covid.,verdadeiro,Fato,Ministerio da Saude - Saude com Ciencia,2024-07-18,https://www.gov.br/saude/pt-br/assuntos/saude-com-ciencia/noticias/2024/julho/grafeno-nao-esta-presente-em-vacinas,Vacinas e desinformacao,Grafeno
44,Alegacoes de que grafeno envenena vacinas nao possuem base cientifica.,verdadeiro,Fato,Ministerio da Saude - Saude com Ciencia,2024-07-18,https://www.gov.br/saude/pt-br/assuntos/saude-com-ciencia/noticias/2024/julho/grafeno-nao-esta-presente-em-vacinas,Vacinas e desinformacao,Grafeno
45,Vacinas passam por processos rigorosos antes da aplicacao na populacao.,verdadeiro,Fato,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Seguranca vacinal
46,A seguranca das vacinas continua sendo monitorada mesmo apos sua aprovacao.,verdadeiro,Fato,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Seguranca vacinal
47,"Nenhuma vacina, inclusive contra covid, contem microchips para rastreamento.",verdadeiro,Fato,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Microchips
48,"Higiene, saneamento e agua potavel nao substituem a vacinacao contra doencas infecciosas.",verdadeiro,Fato,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Necessidade de vacinas
49,"Sarampo, caxumba e rubeola podem gerar complicacoes graves em criancas e adultos.",verdadeiro,Fato,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Gravidade das doencas
50,A vacinacao protege comunidades ao reduzir riscos de surtos de doencas preveniveis.,verdadeiro,Fato,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Saude coletiva
51,Vacinas recomendadas por autoridades sanitarias sao uma medida de prevencao em saude publica.,verdadeiro,Fato,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Saude publica
52,Vacinas contra covid nao possuem oxido de grafeno em suas formulas aprovadas.,verdadeiro,Fato,AFP Checamos,2023-02-24,https://checamos.afp.com/doc.afp.com.33CZ8LJ,Vacinas e desinformacao,Grafeno
53,Materiais usados em tecnicas laboratoriais nao significam que grafeno faca parte da composicao da vacina.,verdadeiro,Fato,AFP Checamos,2023-02-24,https://checamos.afp.com/doc.afp.com.33CZ8LJ,Vacinas e desinformacao,Grafeno
54,A bula da Comirnaty descreve a vacina como imunizante para prevenir a covid causada pelo SARS-CoV-2.,verdadeiro,Fato,Bula Comirnaty/Pfizer via AFP Checamos,2023-10-05,https://checamos.afp.com/sites/default/files/medias/factchecking/brasil/bula_1696533197344.pdf,Vacinas e desinformacao,Bula
55,Miocardite e pericardite sao eventos muito raros descritos em bula para vacina covid de mRNA.,verdadeiro,Fato,Bula Comirnaty/Pfizer via AFP Checamos,2023-10-05,https://checamos.afp.com/sites/default/files/medias/factchecking/brasil/bula_1696533197344.pdf,Vacinas e desinformacao,Evento adverso raro
56,A vacina covid recombinante pode nao proteger totalmente todas as pessoas vacinadas.,verdadeiro,Fato,Bula vacina covid via AFP Checamos,2026-05-03,https://checamos.afp.com/sites/default/files/medias/factchecking/bula_1659112612430.pdf,Vacinas e desinformacao,Bula
57,Pessoas com alergia grave a componentes de uma vacina devem seguir as contraindicacoes da bula.,verdadeiro,Fato,Bula vacina covid via AFP Checamos,2026-05-03,https://checamos.afp.com/sites/default/files/medias/factchecking/bula_1659112612430.pdf,Vacinas e desinformacao,Contraindicacao
58,A vacina da Pfizer contra covid nao contem pedacos do virus nem toxinas na formulacao citada pela empresa.,verdadeiro,Fato,Pfizer Brasil via Aos Fatos,2021-06-09,https://static.aosfatos.org/media/cke_uploads/2021/06/18/2021-06-09-fake-news-toxinas-e-infertilidade.pdf,Vacinas e desinformacao,Composicao
59,Estudos pre-clinicos da vacina Pfizer nao identificaram efeito sobre fertilidade nos dados citados.,verdadeiro,Fato,Pfizer Brasil via Aos Fatos,2021-06-09,https://static.aosfatos.org/media/cke_uploads/2021/06/18/2021-06-09-fake-news-toxinas-e-infertilidade.pdf,Vacinas e desinformacao,Fertilidade
60,A resposta imunologica gerada por vacinas prepara o organismo para reconhecer agentes infecciosos.,verdadeiro,Fato,OPAS/OMS,2026-05-24,https://www.paho.org/pt/topicos/imunizacao/desmentindo-informacoes-falsas-sobre-imunizacao,Vacinas e desinformacao,Resposta imune
